[INFO]
DATA_FORMAT_VERSION=1.0
CREATOR=tellurium
NUMBER_OF_COLS=3
NUMBER_OF_ROWS=50
COLUMN_HEADERS=time,[y1],[y2]
COMMENTS=

[DATA]
0.000000,1.000000,0.000000
0.204082,1.379486,0.204879
0.408163,2.565020,0.356814
0.612245,2.571992,0.480150
0.816327,2.320365,0.599705
1.020408,2.696351,0.637483
1.224490,3.112214,0.603181
1.428571,3.472407,0.843917
1.632653,3.351222,0.797151
1.836735,2.488234,0.828507
2.040816,2.418510,0.979342
2.244898,2.163064,1.024570
2.448980,2.335585,0.847391
2.653061,2.374238,1.197884
2.857143,2.321239,1.017481
3.061224,2.685407,1.024106
3.265306,2.836039,0.557713
3.469388,2.804320,0.748974
3.673469,3.137992,0.735178
3.877551,2.874053,0.809672
4.081633,2.909969,0.890129
4.285714,2.386536,0.754223
4.489796,2.787055,0.948945
4.693878,2.558421,1.075074
4.897959,2.785454,0.797295
5.102041,2.548532,0.914314
5.306122,2.614248,0.940683
5.510204,2.435292,0.909454
5.714286,2.665570,0.878297
5.918367,2.524055,0.593886
6.122449,2.879984,0.708353
6.326531,2.827379,0.612720
6.530612,2.639028,0.896160
6.734694,3.162780,0.754020
6.938776,2.305555,0.723859
7.142857,2.821159,0.905675
7.346939,2.554888,0.897426
7.551020,2.917852,0.899229
7.755102,2.862035,0.946224
7.959184,2.980371,0.716928
8.163265,2.066533,0.859339
8.367347,2.637530,0.918812
8.571429,2.465821,0.947557
8.775510,2.909712,0.715172
8.979592,3.002533,0.813753
9.183673,2.484789,0.720624
9.387755,2.836357,0.731516
9.591837,2.541553,0.848215
9.795918,2.891289,0.667005
10.000000,3.425469,0.838270
