[INFO]
DATA_FORMAT_VERSION=1.0
CREATOR=tellurium
NUMBER_OF_COLS=3
NUMBER_OF_ROWS=15
COLUMN_HEADERS=time,[S1],[S2]
COMMENTS=

[DATA]
0,0.0001482492901570181,-1.093676576182001e-006
0.714286,0.0001004707051670857,5.285554371219934e-005
1.42857,6.746263026961932e-005,8.279126345960408e-005
2.14286,4.567612369808388e-005,0.000103595977323026
2.85714,2.864715339465973e-005,0.000122398281902609
3.57143,2.198033332264724e-005,0.0001303279904310465
4.28571,1.528101212492526e-005,0.0001349477740040649
5,9.776183075826535e-006,0.0001430103016559533
5.71429,4.89107795545018e-006,0.0001430428403842167
6.42857,2.468903150709526e-006,0.0001460959088848617
7.14286,3.695994955957984e-006,0.0001465174403135578
7.85714,2.745976219867944e-006,0.0001468838786287195
8.57143,8.286162342293592e-007,0.0001495635938395516
9.28571,-2.362349906930674e-007,0.0001508485733152967
10,1.26875873400905e-006,0.0001490123109081626

[WEIGHTS]
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
